Animalia,Nematoda,Secernentea,Spirurida,Onchocercidae,Acanthocheilonema,Acanthocheilonema spirocauda
Animalia,Nematoda,Secernentea,Ascaridida,Anisakidae,Acanthocheilus,Acanthocheilus bicuspis
Animalia,Nematoda,Secernentea,Ascaridida,Anisakidae,Acanthocheilus,Acanthocheilus rotundatus
Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,Acanthochitona crinita
Animalia,Arthropoda,Maxillopoda,Poecilostomatoida,Chondracanthidae,Acanthochondria,Acanthochondria cornuta
Animalia,Arthropoda,Maxillopoda,Poecilostomatoida,Chondracanthidae,Acanthochondria,Acanthochondria limandae
Animalia,Arthropoda,Maxillopoda,Poecilostomatoida,Chondracanthidae,Acanthochondria,Acanthochondria soleae
Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Acanthocinus,Acanthocinus aedilis
Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Acanthocinus,Acanthocinus griseus
Animalia,Arthropoda,Insecta,Hemiptera,Eriococcidae,Acanthococcus,Acanthococcus aceris
Animalia,Arthropoda,Insecta,Hemiptera,Eriococcidae,Acanthococcus,Acanthococcus ericae
Animalia,Arthropoda,Insecta,Hemiptera,Eriococcidae,Acanthococcus,Acanthococcus roboris
Animalia,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops robustus
Animalia,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops sensitivus
Animalia,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops venustus
Animalia,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops vernalis
Animalia,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops viridis
Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Acanthodelphax,Acanthodelphax denticauda
Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Acanthodelphax,Acanthodelphax spinosa
Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris,Acanthodoris pilosa
Animalia,Arthropoda,Branchiopoda,Diplostraca,Macrothricidae,Acantholeberis,Acantholeberis curvirostris
Animalia,Arthropoda,Insecta,Hymenoptera,Pamphiliidae,Acantholyda,Acantholyda erythrocephala
Animalia,Arthropoda,Insecta,Hymenoptera,Pamphiliidae,Acantholyda,Acantholyda flaviceps
Animalia,Arthropoda,Insecta,Hymenoptera,Pamphiliidae,Acantholyda,Acantholyda hieroglyphica
Animalia,Arthropoda,Insecta,Hymenoptera,Pamphiliidae,Acantholyda,Acantholyda laricis
Animalia,Arthropoda,Insecta,Hymenoptera,Pamphiliidae,Acantholyda,Acantholyda posticalis
Animalia,Arthropoda,Arachnida,Trombidiformes,Myobiidae,Acanthophthirius,Acanthophthirius etheldredae
Animalia,Arthropoda,Arachnida,Trombidiformes,Myobiidae,Acanthophthirius,Acanthophthirius polonicus
Animalia,Arthropoda,Insecta,Lepidoptera,Psychidae,Acanthopsyche,Acanthopsyche atra
Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Acanthoscelides,Acanthoscelides obtectus
Animalia,Arthropoda,Insecta,Hemiptera,Acanthosomatidae,Acanthosoma,Acanthosoma haemorrhoidale
Animalia,Arthropoda,Insecta,Thysanoptera,Phlaeothripidae,Acanthothrips,Acanthothrips nodicornis
Animalia,Arthropoda,Arachnida,Trombidiformes,Tarsonemidae,Acarapis,Acarapis woodi
Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Acartauchenius,Acartauchenius scurrilis
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia bifilosa
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia clausi
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia discaudata
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia hudsonica
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia longiremis
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa
Animalia,Arthropoda,Insecta,Diptera,Acartophthalmidae,Acartophthalmus,Acartophthalmus bicolor
Animalia,Arthropoda,Insecta,Diptera,Acartophthalmidae,Acartophthalmus,Acartophthalmus nigrinus
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Acaridae,Acarus,Acarus nidicolus
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Acaridae,Acarus,Acarus siro
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Acasis,Acasis viretata
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Acaudinum,Acaudinum centaureae
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter gentilis
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter nisus
Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Acemya,Acemya acuticornis
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Acentria,Acentria ephemerella
Animalia,Arthropoda,Insecta,Coleoptera,Brentidae,Acentrotypus,Acentrotypus brunnipes
Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Aceratoneuromyia,Aceratoneuromyia granularis
Animalia,Arthropoda,Arachnida,Trombidiformes,Pionidae,Acercopsis,Acercopsis pistillifer
Animalia,Arthropoda,Entognatha,Protura,Acerentomidae,Acerella,Acerella muscorum
Animalia,Arthropoda,Entognatha,Protura,Acerentomidae,Acerella,Acerella remyi
Animalia,Arthropoda,Entognatha,Protura,Acerentomidae,Acerentomon,Acerentomon affine
Animalia,Arthropoda,Entognatha,Protura,Acerentomidae,Acerentomon,Acerentomon doderoi
Animalia,Arthropoda,Entognatha,Protura,Acerentomidae,Acerentomon,Acerentomon gallicum
Animalia,Arthropoda,Entognatha,Protura,Acerentomidae,Acerentomon,Acerentomon nemorale
Animalia,Arthropoda,Entognatha,Protura,Acerentomidae,Acerentulus,Acerentulus confinis
Animalia,Arthropoda,Entognatha,Protura,Acerentomidae,Acerentulus,Acerentulus cunhai
Animalia,Arthropoda,Entognatha,Protura,Acerentomidae,Acerentulus,Acerentulus silvanus
Animalia,Arthropoda,Entognatha,Protura,Acerentomidae,Acerentulus,Acerentulus traegardhi
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria aceriscampestris
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria anceps
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria angustifoliae
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria artemisiae
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria brevirostris
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria calathina
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria campestricola
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria centaureae
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria cephalonea
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria convolvuli
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria cornuta
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria destructor
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria dispar
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria drabae
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria empetri
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria enantha
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria erinea
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria euaspis
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria euphrasiae
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria exigua
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria ficus
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria fraxinivora
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria galiobia
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria genistae
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria geranii
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria granulata
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria hippophaena
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria horrida
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria hypochoerina
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria iteina
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria labiatiflorae
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria laticincta
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria leioprocta
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria loewi
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria lycopersici
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria macrochela
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria macrocheluserinea
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria macrorhyncha
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria macrotuberculata
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria megacera
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria mentharia
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria multistriata
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria myriadeum
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria nervisequa
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria oculata
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria ononidis
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria oxalidis
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria peucedani
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria pilosellae
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria plicator
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria pseudoplatanea
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria pseudoplatani
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria rechingeri
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria rudis
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria sanguisorbae
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria schlechtendali
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria silenes
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria solida
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria squalida
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria subtilis
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria tenella
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria tenuis
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria thomasi
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria trifolii
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria tristriata
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria tuberculata
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria tulipae
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria ulmi
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria unguiculata
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria varia
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,Aceria vitalbae
Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae,Acericecis,Acericecis vitrina
Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Acericerus,Acericerus heydenii
Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Acericerus,Acericerus ribauti
Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Acericerus,Acericerus vittifrons
Animalia,Arthropoda,Insecta,Diptera,Scathophagidae,Acerocnema,Acerocnema macrocera
Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Acetropis,Acetropis carinata
Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Acetropis,Acetropis gimmerthalii
Animalia,Annelida,Oligochaeta,Tubificida,Enchytraeidae,Achaeta,Achaeta eiseni
Animalia,Arthropoda,Malacostraca,Decapoda,Inachidae,Achaeus,Achaeus cranchii
Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Achaius,Achaius oratorius
Animalia,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Achalcerinys,Achalcerinys lindus
Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Achalcus,Achalcus cinereus
Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Achalcus,Achalcus flavicollis
Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Achalcus,Achalcus vaillanti
Animalia,Arthropoda,Insecta,Diptera,Muscidae,Achanthiptera,Achanthiptera rohrelliformis
Animalia,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Achelia,Achelia echinata
Animalia,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Achelia,Achelia laevis
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Achenium,Achenium depressum
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Achenium,Achenium humile
Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Acherontia,Acherontia atropos
Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Acheta,Acheta domesticus
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Achipteriidae,Achipteria,Achipteria coleoptrata
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Achipteriidae,Achipteria,Achipteria nitens
Animalia,Arthropoda,Insecta,Lepidoptera,Drepanidae,Achlya,Achlya flavicornis
Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Achroia,Achroia grisella
Animalia,Nematoda,Adenophorea,Chromadorida,Achromadoridae,Achromadora,Achromadora pseudomicoletzkyi
Animalia,Nematoda,Adenophorea,Chromadorida,Achromadoridae,Achromadora,Achromadora ruricola
Animalia,Nematoda,Adenophorea,Chromadorida,Achromadoridae,Achromadora,Achromadora tenax
Animalia,Nematoda,Adenophorea,Chromadorida,Achromadoridae,Achromadora,Achromadora terricola
Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Achrysocharoides,Achrysocharoides acerianus
Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Achrysocharoides,Achrysocharoides atys
Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Achrysocharoides,Achrysocharoides bukkensis
Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Achrysocharoides,Achrysocharoides butus
Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Achrysocharoides,Achrysocharoides carpinii
Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Achrysocharoides,Achrysocharoides cilla
Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Achrysocharoides,Achrysocharoides cruentus
Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Achrysocharoides,Achrysocharoides latreillii
Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Achrysocharoides,Achrysocharoides niveipes
Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Achrysocharoides,Achrysocharoides splendens
Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Achrysocharoides,Achrysocharoides suprafolius
Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Achrysocharoides,Achrysocharoides zwoelferi
Animalia,Arthropoda,Maxillopoda,Siphonostomatoida,Lernaeopodidae,Achtheres,Achtheres percarum
Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Achyrolimonia,Achyrolimonia decemmaculata
Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Achyrolimonia,Achyrolimonia neonebulosa
Animalia,Mollusca,Gastropoda,Architaenioglossa,Aciculidae,Acicula,Acicula fusca
Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Acidia,Acidia cognata
Animalia,Arthropoda,Malacostraca,Amphipoda,Acidostomatidae,Acidostoma,Acidostoma obesum
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Acidota,Acidota crenata
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Acidota,Acidota cruentata
Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Acilius,Acilius canaliculatus
Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Acilius,Acilius sulcatus
Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Acinia,Acinia corniculata
Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser baerii
Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser gueldenstaedtii
Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser ruthenus
Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser stellatus
Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser sturio
Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,Acizzia,Acizzia uncatoides
Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Aclastus,Aclastus eugracilis
Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Aclastus,Aclastus gracilis
Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Aclastus,Aclastus micator
Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Aclastus,Aclastus minutus
Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Aclastus,Aclastus solutus
Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,Acleris abietana
